id ; screen_name    ; created_at               ; full_text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ; date      ; heure; semaine              ; mois   ; annee; Sentiment; Problematique               ; Score; Urgence; Reponse_automatique                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ; Lieu                    ; Reparabilite; Solution                                                                                                                                                                                            ; Type
  1; gptournier     ; 2023-11-16 15:13:18+00:00; ENGIEpartFR n6 mois dattente et tjs aucune réponse de lagence engie home service grand marseille à Aubagne sur un devis, malgré des multiples relances. Je reste coincé à appeler la plateforme tél et à entendre quon me rappellenPour le numéro 1 du service client cest dommage                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ; 2023-11-16;    15; 2023-11-13/2023-11-19; 2023-11;  2023; Négatif  ; Délai d’intervention        ;  75.0;     7.0; Bonjour, nous sommes sincèrement désolés pour le délai d’attente concernant votre devis Engie Home Service à Aubagne. Nous comprenons votre frustration. Pouvez-vous nous communiquer votre numéro de client ou de dossier afin que nous puissions accélérer le processus ?  Vous pouvez également nous contacter directement au 09 74 73 54 01.                                                                                                                                                                                                                                                                                                         ; Aubagne                 ;            3; Contacter directement le client pour faire un suivi personnalisé de son dossier et accélérer la procédure d’obtention du devis.                                                                     ; Plainte
  2; jouanetwan     ; 2023-11-26 07:34:34+00:00; Bonjour ENGIEpartSAV , lappli monpilotageelec bug depuis hier, suisje le seul dans ce cas ? Pas de bol , le premier jour où la température est négative.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ; 2023-11-26;     7; 2023-11-20/2023-11-26; 2023-11;  2023; Négatif  ; Problèmes avec l’application;  70.0;     7.0; Bonjour ! Nous sommes navrés d'apprendre que vous rencontrez des difficultés avec l'application mon pilotage elec. Nos équipes techniques travaillent actuellement à résoudre ce problème. En attendant, pourriez-vous essayer de redémarrer votre application ou votre téléphone ? Si le problème persiste, n'hésitez pas à contacter notre service client au 09 69 32 01 66. Merci pour votre patience.                                                                                                                                                                                                                                                ; null                    ;            2; Résoudre les bugs de l'application mobile.                                                                                                                                                          ; Plainte
  3; vince_thouvenin; 2023-12-21 14:27:08+00:00; ENGIEpartFR mon syndic de copropriété sergic en est à vous mettre en demeure car votre agence d'Amiens n'intervient pas malgré deux semaines de relances pour avoir DE L'EAU CHAUDE ! EN PLEIN HIVER C'EST SCANDALEUX  !                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ; 2023-12-21;    14; 2023-12-18/2023-12-24; 2023-12;  2023; Négatif  ; Pannes et urgences          ;  80.0;     8.0; Bonjour, nous sommes sincèrement désolés pour la situation que vous rencontrez concernant l'absence d'eau chaude dans votre copropriété. Nous comprenons que cela soit particulièrement difficile en plein hiver. Nous allons contacter notre agence d'Amiens afin d'obtenir plus d'informations et d'accélérer l'intervention. Nous vous prions de nous excuser pour la gêne occasionnée.                                                                                                                                                                                                                                                               ; Amiens                  ;            3; Envoyer une équipe de techniciens spécialisée dans les pannes d'eau chaude à Amiens pour intervenir en urgence.                                                                                     ; Plainte
  4; BiduleAnatheme ; 2023-12-28 21:32:58+00:00; ENGIEpartSAV vous envisagez de vous occuper de l'agence fantôme du secteur Grand Marseille un jour, ou on va au tribunal ?nEt non, je n'enverrai pas un énième mail que vous ne traiterez pas. Vous avez une mise en demeure à traiter. Et un signalement à la dgccrf.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ; 2023-12-28;    21; 2023-12-25/2023-12-31; 2023-12;  2023; Négatif  ; Service client injoignable  ;  95.0;    10.0; Nous vous prions sincèrement de nous excuser pour la situation que vous décrivez concernant l’agence fantôme du secteur Grand Marseille. Nous comprenons votre frustration face au manque de réponse à vos mails précédents. Afin de résoudre ce problème dans les plus brefs délais, nous vous invitons à contacter notre service client dédié au 09 74 73 54 01. Un conseiller se chargera personnellement de votre dossier et vous accompagnera dans toutes les étapes nécessaires.                                                                                                                                                                   ; Grand Marseille         ;            5; Contacter personnellement le client pour traiter sa mise en demeure et son signalement DGCCRF et lui proposer une solution.                                                                         ; Plainte
  5; vince_thouvenin; 2023-12-29 10:08:10+00:00; "ENGIEpartSAV retour de votre technicien ""vous n'avez pas d'eau chaude car vos mousseurs sont entartrés, ça crée des problème de pression "" l'intégralité de la robinetterie a deux ans, refaite à neuf. Vous ne respectez pas vos clients..."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ; 2023-12-29;    10; 2023-12-25/2023-12-31; 2023-12;  2023; Négatif  ; Pannes et urgences          ;  75.0;     6.0; Nous sommes sincèrement désolés pour la situation que vous rencontrez avec votre chauffe-eau.  Le diagnostic de notre technicien semble incongru au vu de l'âge de votre robinetterie.  Pourriez-vous nous contacter au 09 74 73 54 01 afin que nous puissions approfondir le problème et trouver une solution adéquate ?                                                                                                                                                                                                                                                                                                                                ; null                    ;            2; Envoyer un autre technicien pour un second diagnostic et prendre en charge le coût des réparations si le problème n'est pas lié à l'entartrage des mousseurs.                                       ; Plainte
  6; dionombo       ; 2023-12-29 11:13:42+00:00; ENGIEpartFR Merci pour l'annulation d'entretien de dernière minute. Ça me met bien dans la merde... Quand au service client ils ne comprennent rien. Je retiens la leçon....                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ; 2023-12-29;    11; 2023-12-25/2023-12-31; 2023-12;  2023; Négatif  ; Service client injoignable  ;  75.0;     7.0; Nous vous prions sincèrement de nous excuser pour la gêne occasionnée suite à l'annulation de votre entretien et la difficulté rencontrée avec notre service client. Afin d'améliorer la situation, pourriez-vous nous contacter directement au 09 74 73 54 01 afin que nous puissions trouver une solution ensemble ?                                                                                                                                                                                                                                                                                                                                   ; null                    ;            0; Améliorer la formation du service client pour mieux comprendre les demandes des clients et mettre en place un système de suivi des annulations d'entretien.                                         ; Plainte
  7; hawaien88      ; 2023-12-29 12:16:46+00:00; Je mexplique mal où cest les personnes du chat qui ne comprennent rien ?nCest lunaire comme échange depuis hier !!! ENGIEpartFR faites quelques choses !!! 19                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ; 2023-12-29;    12; 2023-12-25/2023-12-31; 2023-12;  2023; Négatif  ; Service client injoignable  ;  75.0;     7.0; Nous sommes sincèrement désolés pour la mauvaise expérience que vous avez vécue avec notre service client. Nous comprenons votre frustration et nous nous excusons pour le manque de clarté et l'échange difficile que vous avez rencontré. Afin d'améliorer la situation, pourriez-vous nous contacter directement au 09 69 32 03 20 afin que nous puissions vous aider et résoudre votre problème?                                                                                                                                                                                                                                                     ; null                    ;            1; Améliorer la formation des agents du chat et mettre en place un système de suivi des conversations pour garantir une meilleure compréhension des requêtes des clients.                              ; Plainte
  8; Petit20850206  ; 2023-12-30 13:55:44+00:00; ENGIEpartFR Bonjour, J'ai reçu un courrier de votre part le 29122023 qui m'ordonne d'installer un compteur numérique avant le 01012024, c'est scandaleux !! comment voulez vous que je fasse installer ce compteur en moins de trois jours durant les fêtes de fin d'année ?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ; 2023-12-30;    13; 2023-12-25/2023-12-31; 2023-12;  2023; Négatif  ; Délai d’intervention        ;  75.0;     7.0; Bonjour, nous vous prions de nous excuser pour la courte échéance concernant l’installation de votre compteur numérique. Nous comprenons que cela soit difficile durant les fêtes de fin d’année. Pouvez-vous nous contacter au 09 74 73 54 01 afin de trouver ensemble une solution adaptée à votre situation ?                                                                                                                                                                                                                                                                                                                                         ; null                    ;            2; Reporter la date limite d’installation du compteur numérique et proposer des solutions alternatives.                                                                                                ; Plainte
  9; Jules_brdn     ; 2024-01-01 12:45:32+00:00; ENGIEpartSAV urgent !! Une honte mon abonnement est passé à 0,32 du kwh ?!?? Merci de me répondre urgemment ! Alors que javais un contrat de 2 ans à 0,10 je viens de mapercevoir aujourdhui que la facture a triple !!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ; 2024-01-01;    12; 2024-01-01/2024-01-07; 2024-01;  2024; Négatif  ; Problèmes de facturation    ;  80.0;     8.0; Bonjour, nous sommes sincèrement désolés pour le désagrément causé par l'augmentation de votre abonnement. Nous comprenons votre inquiétude face à ce triplement du prix. Nous allons examiner votre contrat et nous vous contacterons dans les plus brefs délais pour trouver une solution. Veuillez nous contacter au 09 74 73 54 01 si vous souhaitez nous fournir des informations complémentaires.                                                                                                                                                                                                                                                  ; null                    ;            1; Vérifier le contrat de l'utilisateur et appliquer le tarif convenu.                                                                                                                                 ; Plainte
 10; fhureau        ; 2024-01-01 16:59:03+00:00; Bonjour ENGIEpartSAV, Alors que le prix repère moyen de vente du gaz publié par la CRE_energie  est passé de 0,10406 à 0,09990KwH entre décembre et janvier, le prix de l'offre tranquillité est passé de 0,09686 à 0,10230 ? Quelle est votre formule d'indexation ?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ; 2024-01-01;    16; 2024-01-01/2024-01-07; 2024-01;  2024; Négatif  ; Problèmes de facturation    ;  50.0;     3.0; Bonjour, nous vous remercions pour votre question concernant la variation du prix de votre offre Tranquillité entre décembre et janvier. Nous comprenons votre interrogation quant à la différence entre l'évolution du prix moyen de vente du gaz publié par la CRE et l'évolution du prix de votre offre.  Pour plus de précisions sur notre formule d'indexation et une explication détaillée, nous vous invitons à contacter notre service client au 09 74 73 54 01. Ils pourront vous fournir les informations nécessaires et analyser votre situation.                                                                                             ; null                    ;            0; Fournir une explication claire et transparente de la formule d'indexation utilisée pour le calcul du prix de l'offre Tranquillité et analyser le cas spécifique soulevé par le client.              ; Question
